,X10_22N_H_N_2,X11_22N_H_N_2,X12_22N_H_N_2,X13_22N_H_N_2,X14_22N_H_N_2,X15_22N_H_N_2,X16_22N_H_N_2,X17_22N_H_N_2,X18_22N_H_N_2,X19_22N_H_N_2,X20_22N_H_N_2
Otu1918,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0
Otu6844,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu5676,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu11915,0,0.00184842883548983,0,0,0,0,0,0,0,0,0
Otu2107,0,0,0,0,0,0,0.00184842883548983,0,0.011090573012939,0,0.00369685767097967
Otu13793,0,0,0.00184842883548983,0,0,0,0,0,0,0,0
Otu13193,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu4186,0,0,0,0.00369685767097967,0,0.00184842883548983,0,0,0,0,0
Otu10712,0,0,0,0.00369685767097967,0,0,0,0,0,0,0
Otu14081,0,0,0,0,0,0.00184842883548983,0,0,0,0,0
Otu7858,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu9578,0,0,0,0.00184842883548983,0,0,0,0,0,0,0
Otu3564,0,0,0,0,0,0,0,0.00184842883548983,0.00184842883548983,0,0
Otu6211,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu4785,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu5827,0,0,0,0,0,0,0,0,0.00369685767097967,0,0
Otu7890,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu788,0,0,0,0,0,0,0,0.00369685767097967,0,0,0
Otu7781,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu12683,0,0,0,0,0,0,0,0,0.00184842883548983,0,0
Otu1554,0,0,0,0,0,0,0,0,0,0.00184842883548983,0
Otu7235,0,0,0,0,0,0,0.00184842883548983,0,0,0,0
Otu9396,0,0,0,0,0,0,0,0.00184842883548983,0,0,0
Otu6602,0,0,0,0,0,0,0,0,0,0,0.00184842883548983
