,Confidence,Group,Domain,Phylum,Class,Order,Family,Genus,Species
Otu4983,0.994132013,Eukaryota,Opisthokonta,Choanoflagellida,Choanoflagellatea,Craspedida,Salpingoecidae_Group_C1,Salpingoecidae_Group_C1_X,Salpingoecidae_Group_C1_X_sp.
Otu3624,0.991414248,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,Ptolemeba,Ptolemeba_bulliensis
Otu5462,0.988268624,Eukaryota,Rhizaria,Cercozoa,Filosa,Filosa_X,Filosa_XX,Filosa_XXX,Filosa_XXX_sp.
Otu642,0.896957708,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Tectofilosida,Pseudodifflugiidae,,
Otu9017,0.995301158,Eukaryota,Excavata,Discoba,Euglenozoa,Kinetoplastida,Parabodonid,Parabodo,Parabodo_caudatus
Otu6655,0.980687871,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cavernomonas,Cavernomonas_stercoris
Otu2109,0.999999999,Eukaryota,Alveolata,Ciliophora,Litostomatea,,,,
Otu5578,0.999998554,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Glissomonadida_Clade-Y,Glissomonadida_Clade-Y_X,Glissomonadida_Clade-Y_X_sp.
Otu3294,0.999995798,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu14495,0.999999973,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12C,MAST-12C_X,MAST-12C_XX,MAST-12C_XX_sp.
Otu7060,0.971105131,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Sandonidae,,
Otu4490,0.9102875,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,,,,
Otu8055,0.977272059,Eukaryota,Rhizaria,Cercozoa,,,,,
Otu2945,0.971312292,Eukaryota,Rhizaria,Cercozoa,Endomyxa,Vampyrellida,Vampyrellidae,Vampyrella,Vampyrella_sp.
