,Confidence,Group,Group1,Domain,Phylum,Class,Order,Genus,Species
Otu846,0.999997947,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu1127,0.999999039,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytriomyces,Chytriomyces_annulatus
Otu10114,0.991824137,Eukaryota,Opisthokonta,Fungi,,,,,
Otu6485,0.971782109,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu4183,0.87769697,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu3040,0.806050531,Eukaryota,Opisthokonta,Fungi,Mucoromycota,Mucoromycotina,Mucoromycotina_X,Mortierella,Mortierella_clonocystis
Otu1961,0.999999088,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Ustilaginomycotina,Exobasidiomycetes,Tilletiopsis,Tilletiopsis_pallescens
Otu7371,0.999947949,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Sordariomycetes,,
Otu10089,0.752051768,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Tremellomycetes,Bullera,Bullera_nakhonratchasimensis
Otu3176,0.954791455,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4599,0.933383341,Eukaryota,Opisthokonta,Fungi,,,,,
Otu222,0.999998062,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1068,0.921465122,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4047,0.999814946,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1913,1,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Pucciniomycetes,,
Otu704,0.898230089,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycotina_X,Paraglomus,Paraglomus_sp.
Otu1331,0.963889804,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Glomeromycotina_X,Glomeromycota_XX,Glomeromycota_XX_sp.
Otu10771,0.999499016,Eukaryota,Opisthokonta,Fungi,,,,,
Otu14985,0.999988376,Eukaryota,Opisthokonta,Fungi,Glomeromycota,Glomeromycotina,Archaeosporomycetes,Archaeospora,Archaeospora_trappei
Otu7001,0.83435986,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Mesochytrium,Mesochytrium_penetrans
Otu555,0.997173109,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,Pezizomycetes,,
Otu4475,0.870180292,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu5222,0.990130246,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu1675,0.975116548,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Pucciniomycotina,Cystobasidiomycetes,Erythrobasidium,Erythrobasidium_hasegawianum
Otu4394,0.808617657,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu4783,0.736641449,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu435,0.737800208,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Sistotrema,
Otu5429,0.992106653,Eukaryota,Opisthokonta,Fungi,,,,,
Otu2061,0.970344016,Eukaryota,Opisthokonta,Fungi,,,,,
Otu5340,0.935864574,Eukaryota,Opisthokonta,Fungi,,,,,
Otu8730,0.89626632,Eukaryota,Opisthokonta,Fungi,,,,,
Otu9915,0.992303823,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu598,0.975489174,Eukaryota,Opisthokonta,Fungi,,,,,
Otu9783,0.74529741,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu6169,0.719642986,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4456,0.999635521,Eukaryota,Opisthokonta,Fungi,,,,,
Otu746,0.812768602,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,Dictyonema,Dictyonema_glabratum
Otu3111,0.985915454,Eukaryota,Opisthokonta,Fungi,Blastocladiomycota,Blastocladiomycotina,Blastocladiomycetes,Blastocladiomycota_XX,Blastocladiomycota_XX_sp.
Otu6556,0.760988356,Eukaryota,Opisthokonta,Fungi,,,,,
Otu4666,0.999605553,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Thamnocephalis,Thamnocephalis_sphaerospora
Otu6737,0.971179673,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Syncephalis,Syncephalis_depressa
Otu4865,0.999093136,Eukaryota,Opisthokonta,Fungi,,,,,
Otu3316,0.994763522,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,,
Otu1926,0.999962003,Eukaryota,Opisthokonta,Fungi,,,,,
Otu1862,0.999930898,Eukaryota,Opisthokonta,Fungi,Basidiomycota,Agaricomycotina,Agaricomycetes,,
Otu2690,0.705194701,Eukaryota,Opisthokonta,Fungi,,,,,
Otu851,0.999965239,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,,,
Otu4145,0.854695368,Eukaryota,Opisthokonta,Fungi,Ascomycota,Pezizomycotina,,,
Otu5142,0.978901154,Eukaryota,Opisthokonta,Fungi,,,,,
Otu5477,0.859686501,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,,
Otu3960,0.997285512,Eukaryota,Opisthokonta,Fungi,Cryptomycota,Cryptomycotina,Cryptomycotina_X,Cryptomycotina_XX,Cryptomycotina_XX_sp.
Otu2754,0.999942863,Eukaryota,Opisthokonta,Fungi,Chytridiomycota,Chytridiomycotina,Chytridiomycetes,Chytriomyces,Chytriomyces_sp.
Otu1322,0.999989238,Eukaryota,Opisthokonta,Fungi,Zoopagomycota,Zoopagomycotina,Zoopagomycotina_X,Syncephalis,Syncephalis_depressa
Otu1450,0.712039727,Eukaryota,Opisthokonta,Fungi,Fungi_X,Fungi_XX,Fungi_XXX,Fungi_XXXX,Fungi_XXXX_sp.
Otu7686,0.701137183,Eukaryota,Opisthokonta,Fungi,,,,,
Otu9619,0.975863153,Eukaryota,Opisthokonta,Fungi,,,,,
Otu5287,0.998770178,Eukaryota,Opisthokonta,Fungi,,,,,
Otu6277,0.999999996,Eukaryota,Opisthokonta,Fungi,Entomophthoromycota,Entomophthoromycotina,Entomophthorales,Furia,Furia_virescens
