,X10_5S_H_C_0,X11_5S_H_C_0,X12_5S_H_C_0,X13_5S_H_C_0,X14_5S_H_C_0,X15_5S_H_C_0,X16_5S_H_C_0,X17_5S_H_C_0,X18_5S_H_C_0,X19_5S_H_C_0,X20_5S_H_C_0
Otu13251,0,0,0,0.00093984962406015,0.00469924812030075,0,0.00093984962406015,0,0.00093984962406015,0,0
Otu2531,0,0,0,0,0,0,0,0,0.0018796992481203,0,0
Otu3020,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu2467,0,0,0,0,0.00093984962406015,0,0,0,0,0,0
Otu2502,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu3647,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu1511,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu9421,0,0,0,0,0,0,0.00093984962406015,0,0,0,0
Otu13650,0,0,0,0.0018796992481203,0.0018796992481203,0,0.0018796992481203,0.00093984962406015,0,0,0
Otu7144,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu10073,0,0,0,0,0,0.00093984962406015,0,0,0,0,0
Otu4289,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0.0018796992481203,0.00093984962406015,0,0.00093984962406015
Otu5126,0,0.00093984962406015,0,0,0,0,0,0.00093984962406015,0,0,0.0018796992481203
Otu3071,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0
Otu8290,0.00093984962406015,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu3827,0,0.00093984962406015,0.00093984962406015,0,0,0,0,0,0,0,0
Otu1616,0,0,0,0,0,0,0.0018796992481203,0,0,0,0
Otu638,0,0,0,0,0.00281954887218045,0.0018796992481203,0,0.00093984962406015,0,0.00093984962406015,0
Otu4427,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu5317,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu2230,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
Otu9814,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0,0,0,0
Otu670,0.00093984962406015,0,0,0.0037593984962406,0,0.00093984962406015,0,0,0,0,0
Otu3738,0,0.00093984962406015,0,0,0,0,0.00469924812030075,0,0,0,0
Otu582,0.0037593984962406,0,0,0,0.00093984962406015,0.00093984962406015,0,0,0,0.00093984962406015,0.00093984962406015
Otu925,0,0,0,0,0,0,0,0,0,0,0.00093984962406015
Otu1813,0,0.00093984962406015,0,0,0,0.00093984962406015,0,0,0,0,0
Otu1015,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu5382,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu6637,0,0.00093984962406015,0,0,0,0,0,0,0,0,0
Otu3104,0,0,0,0,0,0,0,0,0,0.0018796992481203,0
Otu2933,0,0,0,0,0.00093984962406015,0,0,0,0,0.00093984962406015,0
Otu1196,0,0,0,0,0,0,0,0,0,0.00093984962406015,0
Otu2539,0,0,0,0.00093984962406015,0,0,0,0,0,0,0
Otu2584,0.0018796992481203,0.0103383458646617,0,0,0,0,0,0.00093984962406015,0,0,0.00093984962406015
Otu3086,0,0,0,0,0,0,0,0,0.00093984962406015,0.00093984962406015,0
Otu7646,0.00093984962406015,0.0018796992481203,0,0,0.00093984962406015,0,0,0.00093984962406015,0.00281954887218045,0,0
Otu228,0,0,0,0,0,0,0,0,0,0.00281954887218045,0.0018796992481203
Otu3443,0.00093984962406015,0,0,0,0,0,0,0,0,0,0
Otu7187,0,0.00093984962406015,0,0,0,0,0,0,0,0.00093984962406015,0
Otu9255,0,0,0,0,0,0,0,0,0.00093984962406015,0,0
